10;17.73
11;17.05
12;16.39
13;15.77
14;15.16
15;14.59
16;14.04
17;13.51
18;13.00
19;12.52
20;12.05
21;11.61
22;11.18
23;10.77
24;10.38
25;10.00
26;9.638
27;9.291
28;8.958
29;8.638
30;8.331
31;8.037
32;7.754
33;7.482
34;7.221
35;6.970
36;6.729
37;6.497
38;6.275
39;6.061
40;5.855
41;5.657
42;5.467
43;5.284
44;5.108
45;4.938
46;4.775
47;4.619
48;4.468
49;4.322
50;4.182
51;4.047
52;3.917
53;3.792
54;3.672
55;3.556
56;3.444
57;3.336
58;3.232
59;3.131
60;3.035
61;2.941
62;2.851
63;2.764
64;2.681
65;2.600
66;2.522
67;2.446
68;2.374
69;2.303
70;2.236
